Model,Train Time (s) Mean,Train Time (s) Std,Inference Time (s) Mean,Inference Time (s) Std,RMSE Mean,RMSE Std,MAE Mean,MAE Std,R2 Score Mean,R2 Score Std,SHAP Time (s) Mean,SHAP Time (s) Std
XGBoost,3.7165785789489747,2.2198608325352165,0.014294719696044922,0.0034025780602930486,5.109881747263844,0.07700856350935158,4.071587068154995,0.06637951912397899,0.46597085038046987,0.01701275039727231,3.300219980875651,0.9489883197219162
LightGBM,0.12581840356190999,0.022194591309167105,0.007962179183959962,0.002169334259784606,5.11519044083931,0.0763631621406824,4.076297973455427,0.06603395354808866,0.4648682435174532,0.016737339448046187,4.7437620083491,1.1702565957460171
Random Forest,1.3216358105341592,0.03503647622994695,0.0585450013478597,0.004836900953391067,5.244916240918398,0.07348140822094323,4.180750995564186,0.06526909468214759,0.43737742687352654,0.017325802679203813,78.03810335795085,1.6142609086329913
Lasso,0.09356523354848226,0.03232371495770543,0.00033972263336181643,0.0004182967736853916,5.553522750716448,0.0747003026509264,4.425812478053445,0.06478253077910169,0.36926799043635955,0.01738878681460674,0.0009642601013183594,0.00017382541395549595
Linear Regression,0.0056106170018514,0.003023089893410662,0.018102860450744628,0.006641090674379244,5.553599672127672,0.07450444851144243,4.424944392221562,0.06423563167440326,0.3692380100388044,0.01782161476046022,0.0025190909703572593,0.0018947908937155464
Ridge,1.5140812476476033,0.9001354224490334,0.00027414957682291664,0.0003886019657903813,5.5537136457017615,0.07453190044316121,4.4251142508756995,0.06433851107743069,0.36921396012706537,0.017758954172678178,0.0011242071787516275,0.0004354882080163773
