Experiment,Model,RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Overfitting
8,Ridge,0.000149840777670043,123.00038886224219,0.9999999999996307,0.6668784768157974,820873.9354856747
8,Lasso,27.138066511851704,26.192513308413517,0.987888143203235,0.9848941881441219,0.9651576797844
8,Random Forest,73.01439541447446,178.71906060982857,0.9123261840878911,0.2967148119935493,2.447723624845616
8,XGBoost,95.12420581413504,181.20829667148666,0.8586356876439574,0.27698737493602654,1.9049651465742898
8,LightGBM,139.3969351771289,138.77027626845327,0.6964262972409139,0.5759836233617281,0.9955045000962227
9,Linear Regression,4.63810180938192e-13,198.36057333594428,1.0,0.27679638522235417,427676194892276.6
9,Ridge,14.053266800229128,196.46672687634725,0.9955879673799959,0.2905400267494217,13.980146372311383
9,Lasso,23.866378385716533,48.47226707775932,0.9872750180341028,0.9568146401041817,2.0309854429681224
9,Random Forest,71.48786427546172,191.29256843306598,0.885830847542245,0.32741670715159765,2.675874714846214
9,XGBoost,90.1422973491417,196.88657265256458,0.8208639662093129,0.287504581077745,2.184175225643273
9,LightGBM,114.3214294211237,187.0144096033889,0.7118749606880906,0.35716425245213435,1.6358648640972415
10,Linear Regression,3.9558678133455634e-13,160.5861399533547,1.0,0.15788751059803074,405944150640219.44
10,Ridge,46.02538472680165,163.76703422633415,0.936435079249941,0.12419593068275414,3.558189360033069
10,Lasso,24.50701124705842,41.6340123299785,0.9819779846557048,0.9433955567079297,1.6988612732193462
10,Random Forest,56.003222916072126,149.1847399790982,0.9058871995510457,0.2732202908375909,2.663859903253609
10,XGBoost,88.96823659481356,175.5320342501535,0.7691259604542573,-0.006159338315505414,1.9729741868390163
10,LightGBM,137.2098079826067,163.26608477443858,0.45086964740093916,0.12954575638114052,1.1899009784718517
11,Linear Regression,3.3100447763524694e-13,164.4475986306213,1.0,0.40530265556487477,496813818971463.1
11,Ridge,14.90523319041256,165.05846676980454,0.993348263111276,0.40087624376586795,11.073860077276384
11,Lasso,20.673466544427523,31.42915268153167,0.98720370853303,0.9782776767234901,1.5202652450178131
11,Random Forest,57.84341701266793,171.67405209596149,0.8998236063305649,0.3518877302748038,2.9679099362052592
11,XGBoost,51.95229093232749,163.3974309718458,0.9214129272995999,0.41287391574262233,3.1451439010588693
11,LightGBM,90.64134405615907,168.93246959630093,0.7607817115331799,0.3724227538430803,1.8637462998301821
12,Linear Regression,3.759022490451196e-13,161.20136515431227,1.0,0.2770592337548683,428838522684559.0
12,Ridge,41.022576942127294,161.03983312114977,0.9569577341966078,0.27850735527540393,3.9256391266774178
12,Lasso,22.445034036323808,57.05348429902583,0.9871148409043428,0.9094414148094889,2.541920150653085
