Model,Train Time (s) Mean,Train Time (s) Std,Inference Time (s) Mean,Inference Time (s) Std,RMSE Mean,RMSE Std,MAE Mean,MAE Std,R2 Score Mean,R2 Score Std,SHAP Time (s) Mean,SHAP Time (s) Std
Linear Regression,0.016667302449544272,0.009926919051377731,0.011037333806355795,0.01059045821805921,25.07736391010776,0.5732927399441303,20.022567136918074,0.48381282335722436,0.00028719204247336464,0.0045129567469120715,0.0015418370564778646,0.0006927055986863088
Ridge,1.9209689458211263,0.8240547682431992,0.0003274281819661458,0.0004289295323707356,25.064568840172843,0.5791307901584094,20.01394590021096,0.4854621757504358,0.001323652516259651,0.002796353724219534,0.0010930697123209636,0.00018199402865675624
Lasso,0.1271154244740804,0.04619283597728266,0.000683434804280599,0.0016724409814868816,25.069655563350242,0.5792867429581583,20.017115465279257,0.485732086394304,0.0009181414358847155,0.0028722273426296627,0.0015454769134521484,0.002364193517207828
Random Forest,4.2535929123560585,0.944758145440563,0.055736692746480306,0.007416253394642369,25.338308745923886,0.5953329732343922,20.23568405684286,0.49512309286005646,-0.020603306180943037,0.00571585030378146,672.3152687311173,28.095843555089107
XGBoost,0.1987510283788045,0.2422576921295769,0.003929495811462402,0.0019152671817483193,25.087257490061976,0.5894975899256398,20.032362815639868,0.49087685672732045,-0.0004653686301765917,0.0017731265674286675,0.0456963300704956,0.037664475029545216
LightGBM,0.049628496170043945,0.010766281532739444,0.0017963012059529623,0.0005281903301449756,25.09566475168281,0.5965862429643496,20.041132926639488,0.4961835808112077,-0.0011253071537593547,0.002550415822454329,0.024407084782918295,0.014835638396862158
