Model,Train Time (s),Accuracy,F1 Score,ROC AUC,Brier Score
XGBoost,0.6855692863464355,0.73,0.49056603773584906,0.7374999999999999,0.18054640535811312
LightGBM,0.11107945442199707,0.7,0.0,0.7179166666666666,0.2099493916467191
Logistic Regression (L2),0.011739492416381836,0.75,0.5283018867924528,0.7720238095238094,0.17100958969831212
Logistic Regression (L1),0.03477311134338379,0.755,0.5504587155963303,0.7713095238095238,0.1709247547030358
Random Forest,0.3000516891479492,0.73,0.325,0.7813095238095238,0.16632750000000002
XGBoost,0.24649643898010254,0.73,0.38636363636363635,0.7657142857142857,0.17500756239004936
LightGBM,0.14268183708190918,0.7,0.0,0.6948809523809525,0.20995487421150494
Logistic Regression (L2),0.012680530548095703,0.775,0.6086956521739131,0.8296428571428571,0.14960232579963098
Logistic Regression (L1),0.016663312911987305,0.78,0.6071428571428571,0.8269047619047619,0.15008515707409004
Random Forest,0.286299467086792,0.78,0.56,0.86125,0.147185
XGBoost,0.3152735233306885,0.8,0.5918367346938775,0.8659523809523809,0.14109248094254684
LightGBM,0.1526484489440918,0.7,0.0,0.7657738095238096,0.2099351867462477
Logistic Regression (L2),0.013126611709594727,0.77,0.54,0.7863095238095238,0.1656424369959363
Logistic Regression (L1),0.03018975257873535,0.775,0.5631067961165048,0.7916666666666667,0.16336030664922865
Random Forest,0.3116943836212158,0.76,0.4666666666666667,0.7951190476190476,0.16060549999999998
XGBoost,0.6988143920898438,0.75,0.5,0.7886904761904762,0.16449110190616506
LightGBM,0.10385322570800781,0.7,0.0,0.7427380952380953,0.20993811852357028
Logistic Regression (L2),0.013575315475463867,0.765,0.5607476635514018,0.7933333333333333,0.15972569717411098
Logistic Regression (L1),0.031063079833984375,0.745,0.5321100917431193,0.7952380952380952,0.16023313473394232
Random Forest,0.3097193241119385,0.76,0.4782608695652174,0.8027380952380951,0.15973949999999998
XGBoost,0.23070406913757324,0.72,0.42857142857142855,0.7877380952380952,0.16559143008918822
LightGBM,0.1024467945098877,0.7,0.0,0.7531547619047619,0.20994489381539988
Logistic Regression (L2),0.012681245803833008,0.72,0.5,0.7503571428571428,0.17944844273070681
Logistic Regression (L1),0.03149557113647461,0.725,0.5132743362831859,0.7496428571428572,0.17925785443976838
Random Forest,0.3153223991394043,0.745,0.49504950495049505,0.7335119047619049,0.178949
XGBoost,0.37514638900756836,0.715,0.43564356435643564,0.7122619047619048,0.18784048262721487
LightGBM,0.13210678100585938,0.7,0.0,0.6852380952380951,0.20995402217828357
Logistic Regression (L2),0.01401829719543457,0.74,0.543859649122807,0.7872619047619047,0.16642150989103022
Logistic Regression (L1),0.028349637985229492,0.735,0.5225225225225225,0.7880952380952381,0.1659041659025419
Random Forest,0.3195056915283203,0.76,0.5,0.7986904761904762,0.16121449999999998
XGBoost,0.32476305961608887,0.755,0.5242718446601942,0.8141666666666666,0.15565254779838944
LightGBM,0.1550445556640625,0.7,0.0,0.7321428571428571,0.20994075175353744
Logistic Regression (L2),0.012555360794067383,0.7,0.4117647058823529,0.7392857142857142,0.1866671187092953
Logistic Regression (L1),0.017092227935791016,0.71,0.4423076923076923,0.7372619047619048,0.18742079681482693
Random Forest,0.2933528423309326,0.735,0.43010752688172044,0.7425595238095237,0.17648600000000003
XGBoost,0.2419576644897461,0.725,0.40860215053763443,0.7453571428571428,0.17738235204531097
LightGBM,0.1365814208984375,0.7,0.0,0.7329761904761904,0.2099424970945838
Logistic Regression (L2),0.014499425888061523,0.685,0.46153846153846156,0.7247619047619047,0.19448075506565168
Logistic Regression (L1),0.02232050895690918,0.68,0.4482758620689655,0.7245238095238096,0.1932589324883712
Random Forest,0.3083071708679199,0.735,0.4854368932038835,0.7398809523809523,0.17870750000000002
XGBoost,0.26608991622924805,0.735,0.4536082474226804,0.7124999999999999,0.18714619932103804
LightGBM,0.11615920066833496,0.7,0.0,0.7386904761904762,0.20994192741160325
Logistic Regression (L2),0.011206626892089844,0.73,0.47058823529411764,0.7521428571428572,0.18537009225617196
Logistic Regression (L1),0.02942633628845215,0.735,0.4854368932038835,0.7561904761904762,0.1830767212353998
Random Forest,0.3272576332092285,0.74,0.3953488372093023,0.7441071428571429,0.176628
XGBoost,0.4398038387298584,0.7,0.3333333333333333,0.755357142857143,0.1842659194880859
LightGBM,0.10985517501831055,0.7,0.0,0.7394047619047619,0.2099418909806269
Logistic Regression (L2),0.012386322021484375,0.765,0.5523809523809524,0.7704761904761904,0.1677824947946364
Logistic Regression (L1),0.03538322448730469,0.76,0.5294117647058824,0.7725,0.16681935879652582
Random Forest,0.3089938163757324,0.77,0.5106382978723404,0.8044047619047618,0.15934199999999998
XGBoost,0.3563573360443115,0.765,0.5436893203883495,0.7677380952380952,0.16992959362464433
LightGBM,0.13967180252075195,0.7,0.0,0.7526190476190476,0.20993955024654007
Logistic Regression (L2),0.01468348503112793,0.73,0.5263157894736842,0.7486904761904764,0.1845590148704527
Logistic Regression (L1),0.03192734718322754,0.725,0.5217391304347826,0.7492857142857143,0.18303808430179122
Random Forest,0.31874656677246094,0.745,0.45161290322580644,0.7567857142857143,0.173338
XGBoost,0.2587258815765381,0.725,0.3956043956043956,0.773452380952381,0.1701474389578922
LightGBM,0.10318899154663086,0.7,0.0,0.7360119047619048,0.2099424821858171
Logistic Regression (L2),0.01296854019165039,0.72,0.5555555555555556,0.7616666666666666,0.18058638354452253
Logistic Regression (L1),0.02944803237915039,0.71,0.532258064516129,0.7645238095238096,0.1786812377169463
Random Forest,0.31842637062072754,0.76,0.52,0.7842857142857144,0.1656185
XGBoost,0.32550883293151855,0.75,0.5370370370370371,0.7717857142857143,0.1715799444635196
LightGBM,0.13505339622497559,0.7,0.0,0.7517857142857143,0.20994048704635987
Logistic Regression (L2),0.013882875442504883,0.78,0.5849056603773585,0.7760714285714285,0.1673884615537534
Logistic Regression (L1),0.02880263328552246,0.775,0.5794392523364486,0.7779761904761905,0.1680766834381368
Random Forest,0.3198685646057129,0.76,0.5,0.7672619047619048,0.1691715
XGBoost,0.20839953422546387,0.76,0.4666666666666667,0.7703571428571427,0.1683691979561288
LightGBM,0.11275672912597656,0.7,0.0,0.7251785714285715,0.20993874144112162
Logistic Regression (L2),0.015969514846801758,0.725,0.5132743362831859,0.787142857142857,0.16642911307229707
Logistic Regression (L1),0.029302120208740234,0.745,0.5321100917431193,0.7897619047619048,0.1643782576645235
Random Forest,0.31714582443237305,0.72,0.4166666666666667,0.7799404761904762,0.1673795
XGBoost,0.23362302780151367,0.76,0.5102040816326531,0.7703571428571429,0.16693506092123883
LightGBM,0.13546156883239746,0.7,0.0,0.7585714285714286,0.20993803380885662
Logistic Regression (L2),0.013163566589355469,0.795,0.594059405940594,0.8071428571428572,0.15470617316687985
Logistic Regression (L1),0.025857925415039062,0.795,0.5858585858585859,0.8046428571428571,0.1567664231012913
Random Forest,0.3314492702484131,0.77,0.4772727272727273,0.7831547619047619,0.1652795
XGBoost,0.5122406482696533,0.74,0.4222222222222222,0.7835714285714287,0.16742920548817672
LightGBM,0.11519432067871094,0.7,0.0,0.7576785714285713,0.20994476021854233
Logistic Regression (L2),0.012217044830322266,0.755,0.5585585585585585,0.7711904761904763,0.17231162434540034
Logistic Regression (L1),0.016780853271484375,0.765,0.5765765765765766,0.7720238095238096,0.17021102930455226
Random Forest,0.31510353088378906,0.775,0.5054945054945055,0.7916666666666667,0.16226349999999998
XGBoost,0.5719892978668213,0.775,0.5360824742268041,0.796547619047619,0.15928854239746346
LightGBM,0.12047052383422852,0.7,0.0,0.7433928571428572,0.20994899008372436
