Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score
1,Linear Regression,0.0015189647674560547,0.00033545494079589844,10.13057918928683,8.140642136820809,0.08001636499773357
1,Ridge,0.40401601791381836,0.00012922286987304688,10.125403831311123,8.134340612265989,0.08095609971130768
1,Lasso,0.025813579559326172,0.00013947486877441406,10.130553904926732,8.1406124550275,0.08002095726596403
1,Random Forest,0.15055203437805176,0.05910801887512207,18.26853683431755,15.715521186357986,-1.9917071608980135
1,XGBoost,0.04787111282348633,0.002315521240234375,10.110993037167766,8.107086310758236,0.08357026264810985
1,LightGBM,0.012560129165649414,0.0021343231201171875,10.370949138100906,8.373963392540942,0.03584122249124044
2,Linear Regression,0.0008575916290283203,0.0002307891845703125,10.322581750793326,8.248142405805746,0.06407054684052849
2,Ridge,0.38821983337402344,0.00012421607971191406,10.670990446897088,8.58857064900293,-0.00017481533244434466
2,Lasso,0.02626633644104004,0.00015878677368164062,10.674540293290107,8.591693615476801,-0.0008403688315710145
2,Random Forest,0.14356088638305664,0.060024261474609375,10.94692818437128,8.838416600912876,-0.05257000651154575
2,XGBoost,0.0856165885925293,0.002170562744140625,10.581280482614655,8.48727523614907,0.016571238386149933
2,LightGBM,0.008184432983398438,0.0029458999633789062,11.800436465014768,9.510818986341315,-0.22310176915484803
3,Linear Regression,0.0006232261657714844,0.00014734268188476562,10.386650440565095,8.373066115474582,0.09201520997570811
3,Ridge,0.3892796039581299,0.0001232624053955078,10.347770075361758,8.34350791992946,0.09880020884709573
3,Lasso,0.025701284408569336,0.00013685226440429688,10.38655584425614,8.372988567238611,0.09203174882412413
3,Random Forest,0.15152239799499512,0.08615827560424805,10.552252997750305,8.66978324545233,0.06283096146542133
3,XGBoost,0.06472110748291016,0.0030617713928222656,10.208320752047902,8.214875844733156,0.12292616204717943
3,LightGBM,0.015273571014404297,0.0025403499603271484,10.309857215785888,8.256826217995226,0.1053918646510349
4,Linear Regression,0.0006301403045654297,0.0001354217529296875,10.689109146408278,8.616955389714164,-0.07494034364007063
4,Ridge,0.3876526355743408,0.0001277923583984375,10.4404915018689,8.396109677604558,-0.025517858918064684
4,Lasso,0.025967121124267578,0.00012874603271484375,10.438591050515031,8.394388292681827,-0.025144549017361406
4,Random Forest,0.1330122947692871,0.053107261657714844,13.57460606629693,10.960154898390345,-0.7336275896361735
4,XGBoost,0.06215405464172363,0.0038187503814697266,12.181097728329062,9.9083322651186,-0.3959639224346705
4,LightGBM,0.013784408569335938,0.002926349639892578,10.034354580895476,7.91763558225216,0.05271594677398983
5,Linear Regression,0.0006909370422363281,0.00020265579223632812,10.33947953764585,8.196141414581916,0.08892234569205593
5,Ridge,0.3868272304534912,0.00012612342834472656,10.47457443926707,8.365184776886013,0.06495865669050116
5,Lasso,0.0255281925201416,0.00012803077697753906,10.693680624567191,8.599425415289067,0.025431303307888786
5,Random Forest,0.13312482833862305,0.05421137809753418,11.29613823164059,9.271406537435832,-0.08747187898849718
5,XGBoost,0.04517364501953125,0.0030405521392822266,10.710826591736765,8.534857154082118,0.022303602081110596
5,LightGBM,0.013101339340209961,0.0026085376739501953,11.117469219670395,8.700112037401,-0.053343234759554825
6,Linear Regression,0.001093149185180664,0.0003421306610107422,10.26104635952379,8.42289235803646,0.08303597222402614
6,Ridge,0.3931443691253662,0.00012874603271484375,10.181978282491459,8.3279047899901,0.09711314134148985
6,Lasso,0.02576470375061035,0.00012636184692382812,10.187340545758191,8.345764220782668,0.0961618936023293
6,Random Forest,0.1336681842803955,0.05496382713317871,13.9676886606331,11.339730323902975,-0.6990966802696601
6,XGBoost,0.03394579887390137,0.001909494400024414,10.539691263967407,8.558658509368728,0.032558355615343926
6,LightGBM,0.01018667221069336,0.0015256404876708984,11.096107401417152,9.147319452999943,-0.07228517749623542
7,Linear Regression,0.0006053447723388672,0.00014591217041015625,10.145096644491188,8.072873864299197,0.004804489652584842
7,Ridge,0.38169312477111816,0.0001347064971923828,10.129405710876974,8.065849991472042,0.007880551187504081
7,Lasso,0.025791168212890625,0.00013303756713867188,10.144985699044375,8.07282481939928,0.004826256188815048
7,Random Forest,0.1448347568511963,0.059005022048950195,10.716605434665126,8.821134646245774,-0.1104794168486729
7,XGBoost,0.06551575660705566,0.0022368431091308594,9.914837225776983,8.14062382174509,0.04946697964525959
7,LightGBM,0.014045000076293945,0.0017311573028564453,10.831483786107098,8.873321223646384,-0.13441494366492246
8,Linear Regression,0.0012488365173339844,0.0003113746643066406,9.320932424889639,7.530540277411952,0.05649655062072445
8,Ridge,0.40732383728027344,0.00012564659118652344,9.306539396965924,7.476435616417811,0.05940814489369706
8,Lasso,0.026874065399169922,0.0001373291015625,9.32090702983112,7.530492449293101,0.05650169180007791
8,Random Forest,0.1345667839050293,0.0781095027923584,11.291338124674848,9.320684391126056,-0.38457217288057155
8,XGBoost,0.04162263870239258,0.0023148059844970703,9.334364410254617,7.448567799235627,0.05377530873489955
8,LightGBM,0.016663789749145508,0.0028443336486816406,9.76273154246001,7.950386533003386,-0.035064628785877794
9,Linear Regression,0.0011823177337646484,0.0004088878631591797,10.025123172306769,7.7176336209293055,0.013442839695983255
9,Ridge,0.41436219215393066,0.0001354217529296875,9.901144206726677,7.6484517043611815,0.037693120988250284
9,Lasso,0.025808095932006836,0.00012993812561035156,10.02504169123207,7.717581778391026,0.013458876488672056
9,Random Forest,0.13352394104003906,0.055797576904296875,11.96144392826662,9.26918996790914,-0.40446213877410897
9,XGBoost,0.08627820014953613,0.003084421157836914,10.078214436145393,7.775509558796555,0.002965909545410983
