Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score,SHAP Time (s)
1,Linear Regression,0.016911983489990234,0.0006351470947265625,25.509373632359384,20.407490352207827,0.0028124891148264552,0.0014758110046386719
1,Ridge,1.992363691329956,0.00024127960205078125,25.49457720137873,20.396830965848284,0.003968968862853917,0.0012235641479492188
1,Lasso,0.14086699485778809,0.00027060508728027344,25.496165858442684,20.39690917819553,0.003844832579126156,0.0011012554168701172
1,Random Forest,3.8770432472229004,0.07332801818847656,25.702624349963035,20.530552725223522,-0.012353476807642538,658.5560903549194
1,XGBoost,0.2799820899963379,0.00457310676574707,25.495656607467005,20.378719084749225,0.0038846258505939035,0.13782835006713867
1,LightGBM,0.047730207443237305,0.0013425350189208984,25.490311270704193,20.366620140587614,0.004302266709594993,0.02449202537536621
2,Linear Regression,0.03554105758666992,0.03615117073059082,24.94013429268519,19.83202972756564,0.003475203278581751,0.002305746078491211
2,Ridge,1.8292477130889893,0.00023984909057617188,24.92850626367545,19.828634046516257,0.004404221367835026,0.0011167526245117188
2,Lasso,0.12019824981689453,0.000247955322265625,24.929097410541026,19.825538188199914,0.004357002308982727,0.0011467933654785156
2,Random Forest,3.4712536334991455,0.050904273986816406,25.121757885297427,20.066124931472427,-0.01109179460132137,707.8908047676086
2,XGBoost,0.270397424697876,0.004880428314208984,24.988702267610137,19.89235049394985,-0.00040980524894740356,0.021311044692993164
2,LightGBM,0.057527780532836914,0.0012598037719726562,24.984892978365266,19.893175781492893,-0.00010482263665334557,0.004838466644287109
3,Linear Regression,0.030483007431030273,0.04213285446166992,26.019093328011763,20.64661340489483,0.0032793460433341304,0.002296924591064453
3,Ridge,1.6937317848205566,0.00018072128295898438,26.013949459276716,20.637353715344272,0.003673402312037388,0.0007970333099365234
3,Lasso,0.10193276405334473,0.00026345252990722656,26.030557009392986,20.65482441428487,0.0024008676925749706,0.0010905265808105469
3,Random Forest,3.6560113430023193,0.060391902923583984,26.246747023954278,20.85950286962362,-0.014238543474299759,605.9881298542023
3,XGBoost,0.21766304969787598,0.004370450973510742,26.064633454296526,20.682821835167456,-0.0002127439131396347,0.09749865531921387
3,LightGBM,0.06911897659301758,0.0027577877044677734,26.108026509526667,20.73637455087094,-0.0035458746492622595,0.04978370666503906
4,Linear Regression,0.010679006576538086,0.011157512664794922,25.45600198891122,20.520353123313427,0.0036376212213318215,0.0010917186737060547
4,Ridge,1.2133636474609375,0.00016045570373535156,25.45095725647833,20.51518193640107,0.004032489477454493,0.0008571147918701172
4,Lasso,0.11450314521789551,0.00029206275939941406,25.450796951941175,20.509510984324667,0.004045035772383798,0.0010998249053955078
4,Random Forest,3.9488542079925537,0.049181222915649414,25.832669190178013,20.831941353525405,-0.026066463899193204,707.3477494716644
4,XGBoost,0.10326385498046875,0.0024261474609375,25.4995846865774,20.54470718429195,0.00022299757813171173,0.023057937622070312
4,LightGBM,0.05555391311645508,0.002022981643676758,25.4989221880465,20.548238049378924,0.00027494683136763953,0.024576187133789062
5,Linear Regression,0.011095523834228516,0.012653589248657227,25.11076008746709,20.066337716348894,0.008242525709432402,0.0013689994812011719
5,Ridge,1.9664313793182373,0.00024127960205078125,25.128209301310193,20.089858717803068,0.006863722291380325,0.0015420913696289062
5,Lasso,0.14134597778320312,0.0002608299255371094,25.117666058301186,20.079351191748,0.007696943657593991,0.00115203857421875
5,Random Forest,4.026885986328125,0.05068635940551758,25.411142174452735,20.261442210687726,-0.01562676365409743,660.3811223506927
5,XGBoost,0.12545084953308105,0.003923892974853516,25.213643049633745,20.183007544053254,9.908652824208719e-05,0.03751850128173828
5,LightGBM,0.025316953659057617,0.0016894340515136719,25.21866593472575,20.186484536395984,-0.0002993396447834584,0.010681390762329102
6,Linear Regression,0.02060222625732422,0.02987837791442871,24.35713930642358,19.365830772443193,0.006069082010233928,0.0012631416320800781
6,Ridge,2.114668607711792,0.0005292892456054688,24.427610523124912,19.429889850989,0.00030938693077919854,0.0012402534484863281
6,Lasso,0.12351346015930176,0.00027823448181152344,24.41520008677026,19.41975892560641,0.0013249136138497875,0.0010921955108642578
6,Random Forest,4.355082035064697,0.049065351486206055,24.693678934331345,19.643333670907218,-0.021586710421259037,708.0717000961304
6,XGBoost,0.11280035972595215,0.0023703575134277344,24.4244849103596,19.431730775761093,0.0005651995763106266,0.025721311569213867
6,LightGBM,0.052527666091918945,0.00189971923828125,24.421315166516692,19.44118571144555,0.0008245906547714732,0.031623125076293945
7,Linear Regression,0.022215604782104492,0.005115509033203125,23.99349944382854,19.22780953360247,-0.001187067623350302,0.002754688262939453
7,Ridge,1.9064061641693115,0.0002491474151611328,23.979585097874725,19.214054708548296,-2.6184538953311076e-05,0.0011677742004394531
7,Lasso,0.12912368774414062,0.0003139972686767578,23.986699381800676,19.223760211988132,-0.0006196498174162457,0.0011286735534667969
7,Random Forest,3.8519890308380127,0.049921512603759766,24.28638914248976,19.442290815703558,-0.025779325204820402,649.1484944820404
7,XGBoost,0.1001441478729248,0.004240512847900391,23.98900876732674,19.22018739189996,-0.0008123339161922871,0.016824007034301758
7,LightGBM,0.04398703575134277,0.0011162757873535156,23.99870478801372,19.227610564573013,-0.0016215260155476585,0.015397787094116211
8,Linear Regression,0.012134552001953125,0.0023927688598632812,24.742513572474653,19.708347074003555,-0.0003378024663678314,0.0014126300811767578
8,Ridge,2.0377554893493652,0.0002491474151611328,24.716719681309254,19.705850560724123,0.001746800200683074,0.0012385845184326172
