Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score,SHAP Time (s)
1,Linear Regression,0.004617214202880859,0.0016183853149414062,5.493432425319501,4.374081125083527,0.34839680593218303,0.0015783309936523438
1,Ridge,1.1036946773529053,0.00022220611572265625,5.493191691626653,4.373972934646153,0.34845391390912905,0.0012524127960205078
1,Lasso,0.12054133415222168,0.0002560615539550781,5.488582895300173,4.37075705837885,0.3495467516186288,0.0011057853698730469
1,Random Forest,1.2828893661499023,0.059941768646240234,5.127354261567135,4.096055410465275,0.43234785778421125,78.1783537864685
1,XGBoost,4.284128904342651,0.016802072525024414,5.020906474365207,3.9974426960639393,0.455672977746407,3.439915657043457
1,LightGBM,0.17821311950683594,0.0074615478515625,5.0362095045456226,4.007701137138615,0.45234985391876814,6.833820819854736
2,Linear Regression,0.008390426635742188,0.012355327606201172,5.498406115863976,4.401814961717487,0.40421926562563093,0.004755496978759766
2,Ridge,1.5610153675079346,0.00023603439331054688,5.499002448377901,4.4020772796770835,0.4040900271947786,0.0012254714965820312
2,Lasso,0.11804699897766113,0.0002391338348388672,5.504044632383294,4.402458172841968,0.40299671425249206,0.0010786056518554688
2,Random Forest,1.3059656620025635,0.05908846855163574,5.225685623214393,4.186893496626376,0.4618549057177962,78.75074911117554
2,XGBoost,3.9891462326049805,0.016431093215942383,5.048334125683452,4.047306798058281,0.4977626466886371,3.4947705268859863
2,LightGBM,0.1313779354095459,0.014859676361083984,5.069649018241431,4.061843605851353,0.49351263693355096,4.292863607406616
3,Linear Regression,0.0026285648345947266,0.027270078659057617,5.476018614425002,4.39398540745611,0.35663712885258525,0.0020592212677001953
3,Ridge,2.1537954807281494,0.0022590160369873047,5.475790628734699,4.393672137716386,0.3566906986028998,0.0029282569885253906
3,Lasso,0.16770243644714355,0.0004229545593261719,5.474163535310682,4.3914042635906005,0.3570729516477703,0.0012187957763671875
3,Random Forest,1.367774248123169,0.059087276458740234,5.228473921571402,4.161002276637575,0.41348914437600504,79.05490136146545
3,XGBoost,3.0382723808288574,0.01610875129699707,5.076961399047247,4.039805166551975,0.44698885326947857,3.0318524837493896
3,LightGBM,0.10673308372497559,0.008808612823486328,5.088496349211091,4.054551331129971,0.444473095488933,4.658794641494751
4,Linear Regression,0.003318309783935547,0.027120351791381836,5.565809438711306,4.450168914708573,0.3573303774812958,0.0020563602447509766
