Model,Train Time (s) Mean,Train Time (s) Std,Inference Time (s) Mean,Inference Time (s) Std,RMSE Mean,RMSE Std,MAE Mean,MAE Std,R2 Score Mean,R2 Score Std
Linear Regression,0.001054223378499349,0.0003256151631778731,0.0002722024917602539,9.506855264715012e-05,10.213921747911133,0.5499423248652354,8.186571672690226,0.45256043695229625,0.05337456579591048,0.05250117365648717
Ridge,0.49963563283284507,0.5217584394714885,0.00013688405354817708,1.63349258709059e-05,10.246364477812683,0.5391469322673104,8.215565832643257,0.4494552362823617,0.04761796535654561,0.044750475928134796
Lasso,0.027312676111857098,0.0021356366202009993,0.00014504591623942057,1.7759078342175463e-05,10.308115259335189,0.5864726904745612,8.267453798201283,0.48760539408808673,0.036275869934999365,0.05046553411506386
XGBoost,0.07637990315755208,0.05039754696594622,0.004008897145589193,0.006433294064813374,10.530092894364659,0.8324512399603842,8.4571142537202,0.7064174570250574,-0.008066889261361076,0.1228224628893086
LightGBM,0.013044277826944986,0.0024007966686866,0.002520298957824707,0.0006352744766200029,10.771898686202968,0.8334744838965203,8.64504668312376,0.6892909845607975,-0.056359027714529594,0.13686565261337627
Random Forest,0.1410042683283488,0.008269918782077192,0.06925631364186605,0.014169773855770824,12.359809574795287,2.0583489071447816,10.026230937510517,1.792265005187243,-0.4191772214207353,0.47990039313548044
